11,61	27,95	80,36	4523,64
9,82	26,8	78,38	4482,45
9,48	25,73	76,03	4486,6
9,32	23,99	76,22	4552,59
9,72	24,5	78,08	4654,14
9,55	23,62	77,09	4669
8,8	23,71	73,58	4669
8,76	23,54	71,15	4713,08
8,66	23,73	71,12	4667,09
9,2	24,99	73,69	4616,58
9,07	25	75,36	4552,56
9,11	24,43	75,88	4490,58
9,11	24,47	75	4540,34
9,13	24,17	73,41	4545,39
9,31	24,61	72,51	4601,15
9,23	24,89	73,64	4564,44
9,16	24,1	73,35	4506,49
9,45	24,13	75,46	4531,58
9,32	23,8	74,66	4528,3
9,39	23,73	74,17	4521,64
9,42	24,36	74,47	4528,67
9,5	24,25	75,33	4528,67
9,53	24,14	76,73	4501,81
9,23	23,78	74,74	4448,93
9,34	24,06	75,64	4470,83
9,2	23,75	72,64	4461,66
9,08	23,41	71,63	4408,65
9,43	24,66	73,3	4434,09
9,76	25,99	74,95	4410,49
9,74	26,44	75,26	4355,8
10,08	28,66	74,87	4307,02
10,31	28,61	75,67	4245
10,41	28,71	74,71	4209,14
10,4	28,75	73,87	4179,98
10,17	28,3	71,17	4173,66
10,21	27,8	73,5	4173,66
10,26	27,78	72,46	4186,3
10,43	28,19	74,91	4182,33
10,45	27,46	75,78	4164,66
10,32	27,29	74,99	4145,72
10,58	27,59	76,23	4149,18
10,48	27,02	73,79	4158,21
10,26	26,28	73,56	4114,39
10,45	26,58	73,91	4168,88
10,25	26,86	72,47	4172,33
10,33	27,31	74,11	4152,48
10,3	26,61	74,2	4169,6
10,25	26,68	74,91	4191,28
10,45	26,72	73,94	4177,58
10,38	26,41	75,78	4177,58
10,09	25,6	75,47	4128,08
10,35	26,71	77,17	4195,93
10,4	26,84	76,61	4189,96
10,59	27,1	78,23	4154,06
10,77	27,54	78,98	4193,59
10,94	28,73	80,1	4128,67
10,65	28,69	78,81	4102,13
10,75	29,27	77,79	4089,3
10,91	29,55	78,92	4069,39
10,97	29,95	78,83	3991,15
11,02	29,91	78,99	3980,2
11,08	29,93	80,17	3980,2
11,25	29,82	81,64	3971,38
11,31	29,6	82,3	3950,58
11,3	29,75	81,72	3978,83
11,09	29,78	82,84	3951,1
11,29	30,09	83,44	3932,04
11,72	30,56	84,46	3923,49
11,45	29,91	84,02	3898,48
11,18	28,6	82,41	4007,44
11,25	28,77	84,25	4056,99
11,42	29,41	85,32	4144,79
11,48	29,47	84,54	4077,9
11,58	29,26	85,24	4077,9
11,26	28,93	86,41	4076,46
11,45	28,62	85,38	4031,65
11,56	28,2	85,59	3955,23
11,25	27,75	84,94	3973,41
11,1	26,73	83,77	4029,95
11,12	27,23	82,6	4096,08
